Block,Row,Col,X,Y,Label
B8,0,1,126.07,94.0,LG3216
B8,0,2,132.91,94.0,LD20-4988
B8,0,3,139.74,94.0,LG3216
B8,0,4,146.58,94.0,LD20-5738
B8,1,0,119.23,104.0,LG3216
B8,1,1,126.07,104.0,LD19-10076
B8,1,2,132.91,104.0,LG3216
B8,1,3,139.74,104.0,LD20-11748
B8,1,4,146.58,104.0,LG3216
B8,2,0,119.23,114.0,LD21-5991
B8,2,1,126.07,114.0,LG3216
B8,2,2,132.91,114.0,LD21-5253
B8,2,3,139.74,114.0,LG3216
B8,2,4,146.58,114.0,LD17-10473F
B8,3,0,119.23,124.0,LG3216
B8,3,1,126.07,124.0,LD21-3090
B8,3,2,132.91,124.0,LG3216
B8,3,3,139.74,124.0,LD21-5665
B8,3,4,146.58,124.0,LG3216
B8,4,0,119.23,134.0,LD20-4471
B8,4,1,126.07,134.0,LG3216
B8,4,2,132.91,134.0,LD20-4542
B8,4,3,139.74,134.0,LG3216
B8,4,4,146.58,134.0,LD21-5944
B8,5,0,119.23,144.0,LG3216
B8,5,1,126.07,144.0,LD20-5413
B8,5,2,132.91,144.0,LG3216
B8,5,3,139.74,144.0,LD11-2170
B8,5,4,146.58,144.0,LG3216
B8,6,0,119.23,154.0,LD22-4283
B8,6,1,126.07,154.0,LG3216
B8,6,2,132.91,154.0,LD21-7234
B8,6,3,139.74,154.0,LG3216
B8,6,4,146.58,154.0,LD19-10244
B8,7,0,119.23,164.0,LG3216
B8,7,1,126.07,164.0,LD07-3395bf
B8,7,2,132.91,164.0,LG3216
B8,7,3,139.74,164.0,LD00-2817P
B8,7,4,146.58,164.0,LG3216
B9,0,0,12.92,174.0,LD20-11748
B9,0,1,19.76,174.0,LG3216
B9,0,2,26.59,174.0,LD20-4542
B9,0,3,33.43,174.0,LG3216
B9,0,4,40.27,174.0,LD21-3090
B9,1,0,12.92,184.0,LG3216
B9,1,1,19.76,184.0,LD20-5413
B9,1,2,26.59,184.0,LG3216
B9,1,3,33.43,184.0,LD21-5944
B9,1,4,40.27,184.0,LG3216
B9,2,0,12.92,194.0,LD21-5991
B9,2,1,19.76,194.0,LG3216
B9,2,2,26.59,194.0,LD00-2817P
B9,2,3,33.43,194.0,LG3216
B9,2,4,40.27,194.0,LD22-4283
B9,3,0,12.92,204.0,LG3216
B9,3,1,19.76,204.0,LD17-10473F
B9,3,2,26.59,204.0,LG3216
B9,3,3,33.43,204.0,LD19-10076
B9,3,4,40.27,204.0,LG3216
B9,4,0,12.92,214.0,LD11-2170
B9,4,1,19.76,214.0,LG3216
B9,4,2,26.59,214.0,LD21-7234
B9,4,3,33.43,214.0,LG3216
B9,4,4,40.27,214.0,LD21-5253
B9,5,0,12.92,224.0,LG3216
B9,5,1,19.76,224.0,LD07-3395bf
B9,5,2,26.59,224.0,LG3216
B9,5,3,33.43,224.0,LD20-5738
B9,5,4,40.27,224.0,LG3216
B9,6,0,12.92,234.0,LD20-4471
B9,6,1,19.76,234.0,LG3216
B9,6,2,26.59,234.0,LD19-10244
B9,6,3,33.43,234.0,LG3216
B9,6,4,40.27,234.0,LD17-10473L
B9,7,0,12.92,244.0,LG3216
B9,7,1,19.76,244.0,LD20-4988
B9,7,2,26.59,244.0,LG3216
B9,7,3,33.43,244.0,LD21-5665
B9,7,4,40.27,244.0,LG3216
B10,0,0,48.36,174.0,AG36XF4
B10,0,1,55.19,174.0,LD21-7234
B10,0,2,62.03,174.0,AG38XF6
B10,0,3,68.87,174.0,LD21-5944
B10,0,4,75.71,174.0,AG35XF5
B10,1,0,48.36,184.0,LD21-3090
B10,1,1,55.19,184.0,AG34XF6
B10,1,2,62.03,184.0,LD20-11748
B10,1,3,68.87,184.0,AG40XFF5
B10,1,4,75.71,184.0,LD21-5665
B10,2,0,48.36,194.0,AG38XF6
B10,2,1,55.19,194.0,LD07-3395bf
B10,2,2,62.03,194.0,AG36XF4
B10,2,3,68.87,194.0,LD21-5253
B10,2,4,75.71,194.0,AG34XF6
B10,3,0,48.36,204.0,LD17-10473F
B10,3,1,55.19,204.0,AG40XFF5
B10,3,2,62.03,204.0,LD21-5253
B10,3,3,68.87,204.0,AG35XF5
B10,3,4,75.71,204.0,LD21-5944
B10,4,0,48.36,214.0,AG38XF6
B10,4,1,55.19,214.0,LD21-3090
B10,4,2,62.03,214.0,AG35XF5
B10,4,3,68.87,214.0,LD21-7234
B10,4,4,75.71,214.0,AG34XF6
B10,5,0,48.36,224.0,LD20-11748
B10,5,1,55.19,224.0,AG36XF4
B10,5,2,62.03,224.0,LD17-10473F
B10,5,3,68.87,224.0,AG40XFF5
B10,5,4,75.71,224.0,LD07-3395bf
B10,6,0,48.36,234.0,AG35XF5
B10,6,1,55.19,234.0,LD21-5665
B10,6,2,62.03,234.0,AG34XF6
B10,6,3,68.87,234.0,LD21-5944
B10,6,4,75.71,234.0,AG38XF6
B10,7,0,48.36,244.0,LD21-5665
B10,7,1,55.19,244.0,AG36XF4
B10,7,2,62.03,244.0,LD21-7234
B10,7,3,68.87,244.0,AG40XFF5
B10,7,4,75.71,244.0,LD20-11748
B11,0,0,83.79,174.0,AG35XF5
B11,0,1,90.63,174.0,LG3216
B11,0,2,97.47,174.0,AG34XF6
B11,0,3,104.31,174.0,LG3216
B11,0,4,111.14,174.0,AG36XF4
B11,1,0,83.79,184.0,LG3216
B11,1,1,90.63,184.0,AG40XFF5
B11,1,2,97.47,184.0,LG3216
B11,1,3,104.31,184.0,AG29XF5
B11,1,4,111.14,184.0,LG3216
B11,2,0,83.79,194.0,AG38XF6
B11,2,1,90.63,194.0,LG3216
B11,2,2,97.47,194.0,AG29XF4
B11,2,3,104.31,194.0,LG3216
B11,2,4,111.14,194.0,AG38XF6
B11,3,0,83.79,204.0,LG3216
B11,3,1,90.63,204.0,AG29XF4
B11,3,2,97.47,204.0,LG3216
B11,3,3,104.31,204.0,AG40XFF5
B11,3,4,111.14,204.0,LG3216
B11,4,0,83.79,214.0,AG34XF6
B11,4,1,90.63,214.0,LG3216
B11,4,2,97.47,214.0,AG35XF5
B11,4,3,104.31,214.0,LG3216
B11,4,4,111.14,214.0,AG29XF5
B11,5,0,83.79,224.0,LG3216
B11,5,1,90.63,224.0,AG36XF4
B11,5,2,97.47,224.0,LG3216
B11,5,3,104.31,224.0,AG29XF5
B11,5,4,111.14,224.0,LG3216
B11,6,0,83.79,234.0,AG29XF4
B11,6,1,90.63,234.0,LG3216
B11,6,2,97.47,234.0,AG36XF4
B11,6,3,104.31,234.0,LG3216
B11,6,4,111.14,234.0,AG40XFF5
B11,7,0,83.79,244.0,LG3216
B11,7,1,90.63,244.0,AG34XF6
B11,7,2,97.47,244.0,LG3216
B11,7,3,104.31,244.0,AG38XF6
B11,7,4,111.14,244.0,LG3216
B12,0,0,119.23,174.0,LD11-2170
B12,0,1,126.07,174.0,AG29XF5
B12,0,2,132.91,174.0,LD21-5253
B12,0,3,139.74,174.0,AG29XF4
B12,0,4,146.58,174.0,LD20-5413
B12,1,0,119.23,184.0,AG29XF5
B12,1,1,126.07,184.0,LD21-7234
B12,1,2,132.91,184.0,AG29XF4
B12,1,3,139.74,184.0,LD20-4988
B12,1,4,146.58,184.0,AG29XF4
B12,2,0,119.23,194.0,LD20-5738
B12,2,1,126.07,194.0,AG29XF5
B12,2,2,132.91,194.0,LD20-4542
B12,2,3,139.74,194.0,AG29XF5
B12,2,4,146.58,194.0,LD22-4283
B12,3,0,119.23,204.0,AG29XF4
B12,3,1,126.07,204.0,LD20-4471
B12,3,2,132.91,204.0,AG29XF5
B12,3,3,139.74,204.0,LD20-4542
B12,3,4,146.58,204.0,AG29XF4
B12,4,0,119.23,214.0,LD22-4283
B12,4,1,126.07,214.0,AG29XF5
B12,4,2,132.91,214.0,LD20-4988
B12,4,3,139.74,214.0,AG29XF4
B12,4,4,146.58,214.0,LD20-4471
B12,5,0,119.23,224.0,AG29XF4
B12,5,1,126.07,224.0,LD20-5413
B12,5,2,132.91,224.0,AG29XF5
B12,5,3,139.74,224.0,LD21-7234
B12,5,4,146.58,224.0,AG29XF4
B12,6,0,119.23,234.0,LD20-5738
B12,6,1,126.07,234.0,AG29XF5
B12,6,2,132.91,234.0,LD21-5253
B12,6,3,139.74,234.0,AG29XF5
B12,6,4,146.58,234.0,LD11-2170
B12,7,0,119.23,244.0,AG29XF4
B12,7,1,126.07,244.0,LD20-4542
B12,7,2,132.91,244.0,AG29XF4
B12,7,3,139.74,244.0,LD20-4471
B12,7,4,146.58,244.0,AG29XF5
