Block,Row,Col,X,Y,Label,X_start,X_stop,Y_start,Y_stop
B4,2,2,132.91,34.0,AG38XF6,129.49125,136.32874999999999,30.0,38.0
B4,2,3,139.74,34.0,LD20-11748,136.32125000000002,143.15875,30.0,38.0
B4,2,4,146.58,34.0,AG35XF5,143.16125000000002,149.99875,30.0,38.0
B4,3,0,119.23,44.0,LD21-5944,115.81125,122.64875,40.0,48.0
B4,3,1,126.07,44.0,AG36XF4,122.65124999999999,129.48874999999998,40.0,48.0
B4,3,2,132.91,44.0,LD17-10473F,129.49125,136.32874999999999,40.0,48.0
B4,3,3,139.74,44.0,AG40XFF5,136.32125000000002,143.15875,40.0,48.0
B4,3,4,146.58,44.0,LD21-5944,143.16125000000002,149.99875,40.0,48.0
B4,4,0,119.23,54.0,AG40XFF5,115.81125,122.64875,50.0,58.0
B4,4,1,126.07,54.0,LD21-5665,122.65124999999999,129.48874999999998,50.0,58.0
B4,4,2,132.91,54.0,AG36XF4,129.49125,136.32874999999999,50.0,58.0
B4,4,3,139.74,54.0,LD21-7234,136.32125000000002,143.15875,50.0,58.0
B4,4,4,146.58,54.0,AG35XF5,143.16125000000002,149.99875,50.0,58.0
B4,5,0,119.23,64.0,LD21-3090,115.81125,122.64875,60.0,68.0
B4,5,1,126.07,64.0,AG34XF6,122.65124999999999,129.48874999999998,60.0,68.0
B4,5,2,132.91,64.0,LD07-3395bf,129.49125,136.32874999999999,60.0,68.0
B4,5,3,139.74,64.0,AG38XF6,136.32125000000002,143.15875,60.0,68.0
B4,5,4,146.58,64.0,LD20-11748,143.16125000000002,149.99875,60.0,68.0
B4,6,0,119.23,74.0,AG38XF6,115.81125,122.64875,70.0,78.0
B4,6,1,126.07,74.0,LD21-5253,122.65124999999999,129.48874999999998,70.0,78.0
B4,6,2,132.91,74.0,AG34XF6,129.49125,136.32874999999999,70.0,78.0
B4,6,3,139.74,74.0,LD21-5253,136.32125000000002,143.15875,70.0,78.0
B4,6,4,146.58,74.0,AG40XFF5,143.16125000000002,149.99875,70.0,78.0
B4,7,0,119.23,84.0,LD20-11748,115.81125,122.64875,80.0,88.0
B4,7,1,126.07,84.0,AG35XF5,122.65124999999999,129.48874999999998,80.0,88.0
B4,7,2,132.91,84.0,LD21-7234,129.49125,136.32874999999999,80.0,88.0
B4,7,3,139.74,84.0,AG36XF4,136.32125000000002,143.15875,80.0,88.0
B4,7,4,146.58,84.0,LD21-3090,143.16125000000002,149.99875,80.0,88.0
B5,0,0,12.92,94.0,AG36XF4,9.501249999999999,16.33875,90.0,98.0
B5,0,1,19.76,94.0,LD21-5665,16.341250000000002,23.17875,90.0,98.0
B5,0,2,26.59,94.0,AG38XF6,23.17125,30.00875,90.0,98.0
B5,0,3,33.43,94.0,LD07-3395bf,30.01125,36.84875,90.0,98.0
B5,0,4,40.27,94.0,AG35XF5,36.85125,43.688750000000006,90.0,98.0
B5,1,0,12.92,104.0,LD21-7234,9.501249999999999,16.33875,100.0,108.0
